time,x,y,u0,u1,u2
0,0.248451,0.610712,0.116703,0.370281,-0.454966
0,0.0937066,0.783829,-0.0426262,0.344479,-0.776123
0,0.041661,0.591385,-0.0324403,0.643416,-0.493486
0,-0.403772,0.600086,-0.190716,0.403445,-0.727116
0,-0.139125,0.747212,-0.0571278,0.461671,-0.69996
0,-0.376648,0.761127,-0.0369104,0.298287,-0.806143
0,-0.638248,0.445501,-0.327608,0.19898,-0.84769
0,-0.403772,0.600086,-0.190716,0.403445,-0.727116
0,-0.680086,0.68594,-2.66777e-16,3.22312e-16,-1
0,-0.638248,0.445501,-0.327608,0.19898,-0.84769
0,-0.339313,0.420197,-0.312129,0.658369,-0.554621
0,-0.403772,0.600086,-0.190716,0.403445,-0.727116
0,6.12323e-17,1,1.32537e-32,1.22465e-16,-1
0,-0.245717,0.93416,-1.54316e-16,4.25467e-16,-1
0,-0.139125,0.747212,-0.0571278,0.461671,-0.69996
0,-0.403772,0.600086,-0.190716,0.403445,-0.727116
0,-0.168175,0.551298,-0.104643,0.845662,-0.450404
0,-0.139125,0.747212,-0.0571278,0.461671,-0.69996
0,-0.403772,0.600086,-0.190716,0.403445,-0.727116
0,-0.339313,0.420197,-0.312129,0.658369,-0.554621
0,-0.168175,0.551298,-0.104643,0.845662,-0.450404
0,-0.866025,0.5,-1.06058e-16,6.12323e-17,-1
0,-0.638248,0.445501,-0.327608,0.19898,-0.84769
0,-0.680086,0.68594,-2.66777e-16,3.22312e-16,-1
0,-0.866025,0.5,-1.06058e-16,6.12323e-17,-1
0,-0.932696,0.251181,-1.64648e-16,6.13877e-17,-1
0,-0.638248,0.445501,-0.327608,0.19898,-0.84769
0,-0.580152,0.266902,-0.580906,0.352825,-0.729928
0,-0.471358,0.0859322,-0.738674,0.0909173,-0.406923
0,-0.294294,0.255565,-0.473414,0.418208,-0.330386
0,-0.778665,0.11144,-0.329642,0.153237,-0.823586
0,-0.580152,0.266902,-0.580906,0.352825,-0.729928
0,-0.932696,0.251181,-1.64648e-16,6.13877e-17,-1
0,-1,5.66554e-16,-1.22465e-16,7.62013e-32,-1
0,-0.778665,0.11144,-0.329642,0.153237,-0.823586
0,-0.932696,0.251181,-1.64648e-16,6.13877e-17,-1
0,-0.725927,-0.0660431,-0.470797,-0.122195,-0.579915
0,-0.932711,-0.251125,-1.66365e-16,-4.42871e-17,-1
0,-0.619079,-0.22783,-0.584147,-0.151614,-0.478775
0,-0.778665,0.11144,-0.329642,0.153237,-0.823586
0,-0.725927,-0.0660431,-0.470797,-0.122195,-0.579915
0,-0.471358,0.0859322,-0.738674,0.0909173,-0.406923
0,-1,5.66554e-16,-1.22465e-16,7.62013e-32,-1
0,-0.932711,-0.251125,-1.66365e-16,-4.42871e-17,-1
0,-0.725927,-0.0660431,-0.470797,-0.122195,-0.579915
0,-0.187304,0.125932,-0.380885,0.105156,0.0622183
0,-0.294294,0.255565,-0.473414,0.418208,-0.330386
0,-0.471358,0.0859322,-0.738674,0.0909173,-0.406923
0,0.00241649,0.103993,0.045368,0.1086,0.445101
0,-0.187304,0.125932,-0.380885,0.105156,0.0622183
0,-0.22723,-0.00291006,-0.524519,-0.138002,0.150283
0,-0.0734431,0.254872,-0.0624483,0.378485,0.105123
0,-0.294294,0.255565,-0.473414,0.418208,-0.330386
0,-0.187304,0.125932,-0.380885,0.105156,0.0622183
0,0.0986604,0.280856,0.413826,0.606006,0.309345
0,-0.0734431,0.254872,-0.0624483,0.378485,0.105123
0,0.00241649,0.103993,0.045368,0.1086,0.445101
0,0.0986604,0.280856,0.413826,0.606006,0.309345
0,-0.0668789,0.405684,0.059131,0.737533,-0.108547
0,-0.0734431,0.254872,-0.0624483,0.378485,0.105123
0,0.314502,0.263428,0.487421,0.39961,0.265211
0,0.0986604,0.280856,0.413826,0.606006,0.309345
0,0.168887,0.148977,0.544139,0.399714,0.598474
0,-0.22723,-0.00291006,-0.524519,-0.138002,0.150283
0,-0.471358,0.0859322,-0.738674,0.0909173,-0.406923
0,-0.433199,-0.111055,-0.948302,-0.234983,-0.152501
0,-0.0668789,0.405684,0.059131,0.737533,-0.108547
0,-0.294294,0.255565,-0.473414,0.418208,-0.330386
0,-0.0734431,0.254872,-0.0624483,0.378485,0.105123
0,-0.0668789,0.405684,0.059131,0.737533,-0.108547
